collection,slug,title,country,region,city,address,lat,lon,listing_url,query
stores,she-universe-cacao-pod,She Universe Cacao Pod,New Zealand,Canterbury,Christchurch,,,,/stores/she-universe-cacao-pod/,"She Universe Cacao Pod, Christchurch, Canterbury, New Zealand"
stores,earthbound-organics-richmond,Earthbound Organics (Richmond),NZ,Tasman,Richmond,,,,/stores/earthbound-organics-richmond/,"Earthbound Organics (Richmond), Richmond, Tasman, NZ"
stores,lily-and-lotus,Lily and Lotus,New Zealand,Auckland,Ostend,"24 Belgium Street, Ostend, Waiheke Island",,,/stores/lily-and-lotus/,"24 Belgium Street, Ostend, Waiheke Island, Ostend, Auckland, New Zealand"
stores,interfood-grocery,InterFood Grocery,New Zealand,West Coast,Westport,"278 Palmerston Street, Westport 7825",,,/stores/interfood-grocery/,"278 Palmerston Street, Westport 7825, Westport, West Coast, New Zealand"
stores,bin-inn-papamoa,Bin Inn Papamoa,NZ,Bay of Plenty,Tauranga,"60 Gravatt Road, Fashion Island",,,/stores/bin-inn-papamoa/,"60 Gravatt Road, Fashion Island, Tauranga, Bay of Plenty, NZ"
stores,bohemian-bakery,Bohemian Bakery,New Zealand,,,,,,/stores/bohemian-bakery/,"Bohemian Bakery, New Zealand"
stores,live2give-organics,Live2Give Organics,New Zealand,Manawatū-Whanganui,Palmerston North,"15 Cyprus Place, Fitzherbert, Palmerston North, New Zealand",,,/stores/live2give-organics/,"15 Cyprus Place, Fitzherbert, Palmerston North, New Zealand, Palmerston North, Manawatū-Whanganui, New Zealand"
stores,harris-farm-markets,Harris Farm Markets,Australia,,,,,,/stores/harris-farm-markets/,"Harris Farm Markets, Australia"
stores,feinermans-general-store,Feinerman’s General Store,New Zealand,Otago,Roxburgh,"109 Scotland Street, Roxburgh",,,/stores/feinermans-general-store/,"109 Scotland Street, Roxburgh, Roxburgh, Otago, New Zealand"
stores,soul-food-organic,Soul Food Organic,New Zealand,Otago,Queenstown,"The Market, 19 Grant Road, Frankton, Queenstown",,,/stores/soul-food-organic/,"The Market, 19 Grant Road, Frankton, Queenstown, Queenstown, Otago, New Zealand"
stores,golden-bay-organics,Golden Bay Organics,New Zealand,Tasman,Takaka,"47 Commercial Street, Takaka, Tasman",,,/stores/golden-bay-organics/,"47 Commercial Street, Takaka, Tasman, Takaka, Tasman, New Zealand"
stores,the-foodland-organic-store,The Foodland Organic Store,New Zealand,Canterbury,Christchurch,"501 Moorhouse Avenue, Waltham, Christchurch 8011, New Zealand",,,/stores/the-foodland-organic-store/,"501 Moorhouse Avenue, Waltham, Christchurch 8011, New Zealand, Christchurch, Canterbury, New Zealand"
stores,mapua-organics,Mapua Organics,NZ,Tasman,Mapua,,,,/stores/mapua-organics/,"Mapua Organics, Mapua, Tasman, NZ"
stores,the-source-bulk-foods-byron-bay,The Source Bulk Foods (Byron Bay),AU,New South Wales,Byron Bay,"Shop 1, 107 Jonson St",,,/stores/the-source-bulk-foods-byron-bay/,"Shop 1, 107 Jonson St, Byron Bay, New South Wales, AU"
stores,westland-whole-foods,Westland Whole Foods,New Zealand,West Coast,Greymouth,"35 Guinness Street, Greymouth 7805",,,/stores/westland-whole-foods/,"35 Guinness Street, Greymouth 7805, Greymouth, West Coast, New Zealand"
stores,wee-shop-organics,The Wee Shop Organics,New Zealand,Tasman,Ruby Bay,"155 Stafford Drive, Ruby Bay, Mapua 7005",,,/stores/wee-shop-organics/,"155 Stafford Drive, Ruby Bay, Mapua 7005, Ruby Bay, Tasman, New Zealand"
stores,wholefood-co-op-hokitika,Wholefood Co-op Hokitika,NZ,West Coast,Hokitika,,,,/stores/wholefood-co-op-hokitika/,"Wholefood Co-op Hokitika, Hokitika, West Coast, NZ"
stores,greenspace-organic-shop,Greenspace Organic Shop,New Zealand,Auckland,Ostend,"20 Tahi Road, Ostend, Waiheke Island",,,/stores/greenspace-organic-shop/,"20 Tahi Road, Ostend, Waiheke Island, Ostend, Auckland, New Zealand"
stores,organic-buzz,Organic Buzz,New Zealand,Manawatū-Whanganui,Palmerston North,"Shop 1, 337 Broadway Avenue, Palmerston North",,,/stores/organic-buzz/,"Shop 1, 337 Broadway Avenue, Palmerston North, Palmerston North, Manawatū-Whanganui, New Zealand"
stores,ooooby-online-organic-boxes,Ooooby (Online Organic Boxes),NZ,Canterbury,Christchurch,N/A (HQ: 5 Waterman Place),,,/stores/ooooby-online-organic-boxes/,"N/A (HQ: 5 Waterman Place), Christchurch, Canterbury, NZ"
stores,soulfood-organic-wanaka,Soulfood Organic,NZ,Otago,Wānaka,,,,/stores/soulfood-organic-wanaka/,"Soulfood Organic, Wānaka, Otago, NZ"
stores,anitas-organic-store-blenheim,Anita’s Organic Store,New Zealand,Marlborough,Blenheim,"46B Wynen Street, Blenheim, Marlborough",,,/stores/anitas-organic-store-blenheim/,"46B Wynen Street, Blenheim, Marlborough, Blenheim, Marlborough, New Zealand"
stores,she-universe-riverside-chocolaterie,She Universe Riverside Chocolaterie,New Zealand,Canterbury,Christchurch,"Riverside Market Lane, 84 Cashel Street, Christchurch Central",,,/stores/she-universe-riverside-chocolaterie/,"Riverside Market Lane, 84 Cashel Street, Christchurch Central, Christchurch, Canterbury, New Zealand"
stores,freshchoice-nelson-city,FreshChoice Nelson City,New Zealand,Tasman,Nelson,"69 Collingwood Street, Nelson City, Tasman 7010, New Zealand",,,/stores/freshchoice-nelson-city/,"69 Collingwood Street, Nelson City, Tasman 7010, New Zealand, Nelson, Tasman, New Zealand"
stores,bin-inn-glenfield,Bin Inn Glenfield,NZ,Auckland,Auckland,"Glenfield Mall, Downing St (Shop 209, L2)",,,/stores/bin-inn-glenfield/,"Glenfield Mall, Downing St (Shop 209, L2), Auckland, Auckland, NZ"
restaurants,origine-bistro-auckland,Origine Bistro,New Zealand,Auckland,Auckland,,,,/restaurants/origine-bistro-auckland/,"Origine Bistro, Auckland, Auckland, New Zealand"
restaurants,dripping-bowl-wanaka,Dripping Bowl,New Zealand,Otago,Wānaka,,,,/restaurants/dripping-bowl-wanaka/,"Dripping Bowl, Wānaka, Otago, New Zealand"
restaurants,federal-diner-wanaka,Federal Diner,New Zealand,Otago,Wānaka,,,,/restaurants/federal-diner-wanaka/,"Federal Diner, Wānaka, Otago, New Zealand"
restaurants,aro-cafe-wellington,Aro Cafe,New Zealand,Wellington,Wellington,,,,/restaurants/aro-cafe-wellington/,"Aro Cafe, Wellington, Wellington, New Zealand"
restaurants,good-earth-cafe-dunedin,The Good Earth Cafe,New Zealand,Otago,Dunedin,,,,/restaurants/good-earth-cafe-dunedin/,"The Good Earth Cafe, Dunedin, Otago, New Zealand"
restaurants,the-origin-christchurch,The Origin,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-origin-christchurch/,"The Origin, Christchurch, Canterbury, New Zealand"
restaurants,restaurant-slug,Restaurant or café name,Country name,Region or state,City or town,,,,/restaurants/restaurant-slug/,"Restaurant or café name, City or town, Region or state, Country name"
restaurants,the-lotus-heart-christchurch,The Lotus-Heart,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-lotus-heart-christchurch/,"The Lotus-Heart, Christchurch, Canterbury, New Zealand"
restaurants,matatoki-cheese-barn,Matatoki Cheese Barn,New Zealand,Waikato,Matatoki,,,,/restaurants/matatoki-cheese-barn/,"Matatoki Cheese Barn, Matatoki, Waikato, New Zealand"
restaurants,arcadia-restaurant-waiheke,Arcadia Restaurant,New Zealand,Auckland,Palm Beach,"39 Palm Road, Palm Beach, Waiheke Island",,,/restaurants/arcadia-restaurant-waiheke/,"39 Palm Road, Palm Beach, Waiheke Island, Palm Beach, Auckland, New Zealand"
restaurants,misters-auckland,Misters,New Zealand,Auckland,Auckland,,,,/restaurants/misters-auckland/,"Misters, Auckland, Auckland, New Zealand"
restaurants,neo-cafe-wellington,Neo Cafe & Eatery,New Zealand,Wellington,Wellington,,,,/restaurants/neo-cafe-wellington/,"Neo Cafe & Eatery, Wellington, Wellington, New Zealand"
restaurants,fridas-field,Frida's Field,Australia,New South Wales,Byron Bay,76 Booyong Rd,,,/restaurants/fridas-field/,"76 Booyong Rd, Byron Bay, New South Wales, Australia"
restaurants,driving-creek-cafe,Driving Creek Café,New Zealand,Waikato,Coromandel,,,,/restaurants/driving-creek-cafe/,"Driving Creek Café, Coromandel, Waikato, New Zealand"
restaurants,barefoot-eatery-christchurch,Barefoot Eatery,New Zealand,Canterbury,Christchurch,,,,/restaurants/barefoot-eatery-christchurch/,"Barefoot Eatery, Christchurch, Canterbury, New Zealand"
restaurants,hapi-organic-cafe-napier,Hapi Organic Cafe & Maara,New Zealand,Hawke's Bay,Napier,,,,/restaurants/hapi-organic-cafe-napier/,"Hapi Organic Cafe & Maara, Napier, Hawke's Bay, New Zealand"
restaurants,kopupako-kitchen,Kopupako Kitchen,New Zealand,Wellington,Newtown,,-41.312,174.779,/restaurants/kopupako-kitchen/,"Kopupako Kitchen, Newtown, Wellington, New Zealand"
restaurants,pepper-tree-coromandel,The Pepper Tree Restaurant,New Zealand,Waikato,Coromandel,,,,/restaurants/pepper-tree-coromandel/,"The Pepper Tree Restaurant, Coromandel, Waikato, New Zealand"
restaurants,tairua-beach-club,Tairua Beach Club,New Zealand,Waikato,Tairua,,,,/restaurants/tairua-beach-club/,"Tairua Beach Club, Tairua, Waikato, New Zealand"
restaurants,eatery-by-franks-queenstown,Eatery by Frank’s,New Zealand,Otago,Queenstown,,,,/restaurants/eatery-by-franks-queenstown/,"Eatery by Frank’s, Queenstown, Otago, New Zealand"
restaurants,wild-about-wellbeing-farm,Wild About Wellbeing Farm,Australia,Victoria,Yarra Valley,38-40 Hunter Road,,,/restaurants/wild-about-wellbeing-farm/,"38-40 Hunter Road, Yarra Valley, Victoria, Australia"
restaurants,east-restaurant-auckland,East Restaurant,New Zealand,Auckland,Auckland,,,,/restaurants/east-restaurant-auckland/,"East Restaurant, Auckland, Auckland, New Zealand"
restaurants,cellar-door-christchurch,Cellar Door (Christchurch),New Zealand,Canterbury,Christchurch,"Arts Centre of Christchurch, 1 Hereford Street, Christchurch 8013",,,/restaurants/cellar-door-christchurch/,"Arts Centre of Christchurch, 1 Hereford Street, Christchurch 8013, Christchurch, Canterbury, New Zealand"
