collection,slug,title,country,region,city,address,lat,lon,listing_url,notes
stores,bohemian-bakery-cbd,Bohemian Bakery Café (CBD),New Zealand,Canterbury,Christchurch,"255 Saint Asaph Street, Christchurch 8011",,,/stores/bohemian-bakery-cbd/,Coordinates missing — address can be used for lookup
stores,bohemian-bakery-merivale,Bohemian Bakery (Merivale),New Zealand,Canterbury,Christchurch,"2/121 Papanui Road, Merivale Boutique, Christchurch 8014",,,/stores/bohemian-bakery-merivale/,Coordinates missing — address can be used for lookup
stores,bohemian-bakery-st-martins,Bohemian Bakery (St Martins),New Zealand,Canterbury,Christchurch,"6 Beckford Road, St Martins, Christchurch",,,/stores/bohemian-bakery-st-martins/,Coordinates missing — address can be used for lookup
stores,bohemian-bakery-sumner,Bohemian Bakery (Sumner),New Zealand,Canterbury,Christchurch,"43 Nayland Street, Sumner Mall, Christchurch 8081",,,/stores/bohemian-bakery-sumner/,Coordinates missing — address can be used for lookup
stores,brown-owl-organics-rotorua,Brown Owl Organics Rotorua,NZ,Bay of Plenty,Rotorua,197 Ranolf Street,,,/stores/brown-owl-organics-rotorua/,Coordinates missing — address can be used for lookup
stores,bulk-eats-warehouse,Bulk Eats Warehouse,AU,Victoria,Melbourne,101 Proximity Drive,,,/stores/bulk-eats-warehouse/,Coordinates missing — address can be used for lookup
stores,byron-bay-pork-and-meats,Byron Bay Pork And Meats,AU,New South Wales,Mullumbimby,70 Dalley St,,,/stores/byron-bay-pork-and-meats/,Coordinates missing — address can be used for lookup
stores,chantal-shop-napier,Chantal Shop Napier,NZ,Hawke's Bay,Napier,45 Hastings Street,,-39.4929,/stores/chantal-shop-napier/,Coordinates missing — address can be used for lookup
stores,clarks-organic-meat,Clarks Organic Meat,New Zealand,Auckland,Glen Eden,"356 West Coast Road, Glen Eden, Auckland 0602",,,/stores/clarks-organic-meat/,Coordinates missing — address can be used for lookup
stores,commons-unity-remakery-lower-hutt,Commons Unity Remakery Lower Hutt,NZ,Wellington,Lower Hutt,310 Waiwhetu Road,,-41.2195,/stores/commons-unity-remakery-lower-hutt/,Coordinates missing — address can be used for lookup
stores,commonsense-kapiti,Commonsense Kapiti,NZ,Wellington,Kapiti Coast,"Coastlands Mall, State Highway 1",,-40.9158,/stores/commonsense-kapiti/,Coordinates missing — address can be used for lookup
stores,commonsense-kilbirnie,Commonsense Kilbirnie,NZ,Wellington,Wellington,37 Rongotai Road,,-41.3275,/stores/commonsense-kilbirnie/,Coordinates missing — address can be used for lookup
stores,commonsense-lower-hutt,Commonsense Lower Hutt,NZ,Wellington,Wellington,37 Waterloo Road,,-41.2121,/stores/commonsense-lower-hutt/,Coordinates missing — address can be used for lookup
stores,commonsense-mt-eden,Commonsense Mt Eden,NZ,Auckland,Auckland,"284 Dominion Road, Mt Eden, Auckland",,-36.8828,/stores/commonsense-mt-eden/,Coordinates missing — address can be used for lookup
